species,Longitude,Latitude
Catasticta nimbice,-96.505,16.061389
Catasticta nimbice,-96.500833,16.169444
Catasticta nimbice,-96.57,16.317222
Catasticta nimbice,-92.63844,16.628834
Catasticta nimbice,-98.895833,17.0175
Catasticta nimbice,-96.781944,17.051667
Catasticta nimbice,-96.289167,17.168056
Catasticta nimbice,-99.37,17.2225
Catasticta nimbice,-91.099722,17.266667
Catasticta nimbice,-99.447778,17.345833
Catasticta nimbice,-96.64,17.447778
Catasticta nimbice,-96.9175,17.503056
Catasticta nimbice,-99.664167,17.520278
Catasticta nimbice,-99.675,17.525
Catasticta nimbice,-99.725,17.541667
Catasticta nimbice,-99.691667,17.541667
Catasticta nimbice,-99.691667,17.558333
Catasticta nimbice,-99.675,17.558333
Catasticta nimbice,-96.351111,17.603611
Catasticta nimbice,-97.141667,17.641667
Catasticta nimbice,-96.313333,17.666111
Catasticta nimbice,-97.323611,17.723611
Catasticta nimbice,-97.323611,17.723889
Catasticta nimbice,-96.875,17.741667
Catasticta nimbice,-96.880556,17.844444
Catasticta nimbice,-97.308333,17.941667
Catasticta nimbice,-96.127778,18.081667
Catasticta nimbice,-97.425278,18.1875
Catasticta nimbice,-97.658333,18.208333
Catasticta nimbice,-96.992778,18.284722
Catasticta nimbice,-97.735833,18.388333
Catasticta nimbice,-97.378056,18.443611
Catasticta nimbice,-97.608333,18.458333
Catasticta nimbice,-95.289444,18.511944
Catasticta nimbice,-96.958611,18.513333
Catasticta nimbice,-99.555028,18.524556
Catasticta nimbice,-99.580833,18.531111
Catasticta nimbice,-99.510222,18.575111
Catasticta nimbice,-99.606111,18.586944
Catasticta nimbice,-97.408333,18.591667
Catasticta nimbice,-97.414167,18.594167
Catasticta nimbice,-97.410556,18.62
Catasticta nimbice,-99.557333,18.637
Catasticta nimbice,-99.796389,18.666667
Catasticta nimbice,-99.766389,18.733056
Catasticta nimbice,-98.799167,18.781667
Catasticta nimbice,-98.9075,18.790556
Catasticta nimbice,-97.100833,18.815
Catasticta nimbice,-96.856389,18.8275
Catasticta nimbice,-99.059722,18.849444
Catasticta nimbice,-96.891667,18.849444
Catasticta nimbice,-98.929444,18.870556
Catasticta nimbice,-98.716389,18.883056
Catasticta nimbice,-96.997778,18.896944
Catasticta nimbice,-99.221389,18.899167
Catasticta nimbice,-99.0575,18.899444
Catasticta nimbice,-97.001667,18.9
Catasticta nimbice,-99.2342,18.9186
Catasticta nimbice,-99.614444,18.921944
Catasticta nimbice,-98.986667,18.940278
Catasticta nimbice,-99.095833,18.943889
Catasticta nimbice,-98.98111,18.95556
Catasticta nimbice,-99.1,18.983333
Catasticta nimbice,-99.953889,19.043889
Catasticta nimbice,-103.5875,19.061389
Catasticta nimbice,-97.046944,19.070556
Catasticta nimbice,-98.143611,19.0775
Catasticta nimbice,-97.506111,19.156111
Catasticta nimbice,-100.289444,19.17
Catasticta nimbice,-99.095833,19.255833
Catasticta nimbice,-99.159722,19.271944
Catasticta nimbice,-99.166111,19.277222
Catasticta nimbice,-99.298056,19.299722
Catasticta nimbice,-99.213056,19.310556
Catasticta nimbice,-99.133333,19.316667
Catasticta nimbice,-101.881667,19.32
Catasticta nimbice,-102.093333,19.325
Catasticta nimbice,-102.363056,19.3375
Catasticta nimbice,-97.113611,19.340833
Catasticta nimbice,-97.143889,19.351944
Catasticta nimbice,-96.874444,19.356667
Catasticta nimbice,-99.159722,19.367778
Catasticta nimbice,-96.932778,19.367778
Catasticta nimbice,-102.236389,19.379167
Catasticta nimbice,-102.056389,19.401667
Catasticta nimbice,-99.1775,19.405
Catasticta nimbice,-99.200483,19.415696
Catasticta nimbice,-99.183933,19.422913
Catasticta nimbice,-102.041667,19.433056
Catasticta nimbice,-99.133056,19.433056
Catasticta nimbice,-96.956667,19.453056
Catasticta nimbice,-100.476389,19.472222
Catasticta nimbice,-98.801667,19.481944
Catasticta nimbice,-100.046667,19.512222
Catasticta nimbice,-102.099722,19.516389
Catasticta nimbice,-96.9275,19.54
Catasticta nimbice,-97,19.559722
Catasticta nimbice,-103.742778,19.565833
Catasticta nimbice,-102.474722,19.588056
Catasticta nimbice,-101.557222,19.603611
Catasticta nimbice,-96.836944,19.627222
Catasticta nimbice,-100.738056,19.640556
Catasticta nimbice,-97.143056,19.6625
Catasticta nimbice,-98.846944,19.683889
Catasticta nimbice,-98.529444,19.753611
Catasticta nimbice,-102.464722,19.843333
Catasticta nimbice,-97.583333,19.883056
Catasticta nimbice,-99.347222,19.921111
Catasticta nimbice,-100.692778,20.031111
Catasticta nimbice,-101.759167,20.153056
Catasticta nimbice,-98.045278,20.165
Catasticta nimbice,-100.138056,20.179167
Catasticta nimbice,-96.868056,20.188056
Catasticta nimbice,-98.003333,20.200278
Catasticta nimbice,-97.25,20.216667
Catasticta nimbice,-97.851944,20.225278
Catasticta nimbice,-97.8175,20.238611
Catasticta nimbice,-97.883056,20.25
Catasticta nimbice,-98.9075,20.255833
Catasticta nimbice,-103.185833,20.278611
Catasticta nimbice,-103.568333,20.403333
Catasticta nimbice,-97.310556,20.429167
Catasticta nimbice,-99.301389,20.526944
Catasticta nimbice,-103.118333,20.587778
Catasticta nimbice,-98.628889,20.619722
Catasticta nimbice,-103.301389,20.638889
Catasticta nimbice,-98.968056,20.646667
Catasticta nimbice,-88.566667,20.671944
Catasticta nimbice,-99.365278,20.707222
Catasticta nimbice,-103.409722,20.71
Catasticta nimbice,-99.94,20.73889
Catasticta nimbice,-98.696389,20.753611
Catasticta nimbice,-99.19,21.005
Catasticta nimbice,-99.1325,21.024722
Catasticta nimbice,-99.111944,21.025833
Catasticta nimbice,-99.763056,21.1
Catasticta nimbice,-99.741667,21.108333
Catasticta nimbice,-99.608333,21.141667
Catasticta nimbice,-98.867222,21.148889
Catasticta nimbice,-99.141667,21.225
Catasticta nimbice,-99.541667,21.241667
Catasticta nimbice,-99.008333,21.291667
Catasticta nimbice,-98.950556,21.376389
Catasticta nimbice,-102.315556,21.911944
Catasticta nimbice,-99.023889,22.150833
Catasticta nimbice,-99.136389,23.088889
Catasticta nimbice,-104.06139,23.59111
Catasticta nimbice,-99.943056,24.099167
Catasticta nimbice,-100.223056,24.390556
Catasticta nimbice,-100.231389,24.873611
Catasticta nimbice,-100.033056,25.243056
Catasticta nimbice,-100.301667,25.603611
Catasticta nimbice,-100.299722,25.637222
Catasticta nimbice,-105.744167,25.836944
Catasticta nimbice,-111.063056,27.996667
