"long","lat","bio1","bio12"
-79.424744,9.225965,241,3039
-84.0128,10.4288,255,4036
-82.953255,9.867804,263,2876
-83.39991,8.52111,257,4018
-84.596529,9.796523,256,2842
-79.134678,0.143189,230,3633
-82.945795,8.648935,259,3821
-83.626728,9.333304,231,2665
-82.796531,9.654019,255,2422
-84.17019,10.25537,190,3512
-82.644619,9.600276,263,2499
-83.5025,10.538611,262,4938
-83.969691,10.531885,259,4208
-84.18112,10.68515,256,3657
-83.870336,9.261064,257,3477
-83.162149,8.639021,263,3701
-84.165594,9.431889,261,3669
-83.704405,8.685227,261,4765
-83.742514,9.158875,251,3190
-84.04489,10.28173,209,3707
-83.91337,10.173658,251,4024
-83.772147,9.298009,236,2991
-83.75147,9.78404,183,3958
-82.960854,8.785841,221,3426
-79.725908,9.131086,264,2373
-83.476013,8.61941,257,4018
-83.32045,8.41177,260,3777
-83.59929,8.77012,257,4027
-82.274526,9.395138,259,2881
-87.453575,15.739058,255,2432
-78.156588,8.24825,261,1852
-87.061242,15.593136,246,2003
-77.719002,8.059909,265,2166
-88.811202,16.166908,254,3115
-80.110073,8.661724,245,2643
-84.216068,9.576672,254,3167
-78.458556,8.805295,249,2172
-79.212824,0.526068,244,2541
-84.30387,10.21002,190,3512
-79.977207,9.194716,266,2990
-83.589339,8.48025,254,3992
-88.45717,16.781198,255,2348
-74.262338,6.048993,270,2547
-84.643714,10.469582,251,3170
-82.137027,9.301888,258,3214
-79.363587,-0.588808,245,2626
-87.216679,15.564223,247,2022
-83.5638,9.83193,188,4260
-83.19102,9.92668,238,3302
-84.515076,10.182526,221,3289
-82.858715,9.517296,254,2536
-77.615662,7.835493,257,2550
-84.652382,9.633938,260,3011
-78.752661,0.842655,250,2760
-80.605059,-1.842553,237,425
-78.16101,8.66395,263,1763
-84.754719,10.466063,215,3695
-83.011646,9.630083,238,2761
-83.247528,8.742579,255,4108
-85.040826,10.713011,225,3131
-77.400956,6.084911,260,5426
-78.460236,8.920347,252,2047
-78.990833,9.314722,256,2401
-82.5063,9.42448,257,2572
-79.317513,-0.465289,232,2723
-84.338264,10.974308,257,3085
-83.629792,10.067639,243,3791
-79.763145,-3.645685,213,1286
-84.060495,9.379121,261,3669
-79.7006,0.3592,237,1937
-82.473507,9.213057,250,2865
-79.649527,9.061626,263,2128
-86.907209,15.697575,259,2385
-79.484167,-0.498056,244,2679
-84.612391,10.205259,221,3289
-83.46952,8.73164,261,4380
-83.13345,8.35552,257,3127
-85.279144,14.416355,252,1911
-85.14473,13.938066,241,2226
-84.448807,11.678299,247,2864
-77.370529,6.181516,255,5296
-84.807587,15.726622,271,2883
-74.862728,6.228702,230,3090
-83.905764,10.321675,251,4024
-78.531476,0.940662,228,3191
-83.032514,9.994659,258,3136
-80.803522,-1.675219,241,374
-89.117715,16.193985,241,2797
-78.451019,0.868706,208,2847
-77.987909,8.454884,262,1804
-89.181144,16.076514,243,2897
-78.796393,9.169212,255,2423
-83.660374,9.872044,224,3113
-82.840862,9.737482,258,2674
-77.465824,7.745553,256,2790
-74.11639,11.143601,205,2458
-80.199599,-0.151748,246,738
-83.993053,10.129258,194,2802
-87.184385,15.681335,261,2401
-79.776878,9.336438,257,3304
-78.981849,0.071506,211,2856
-73.856902,11.141588,201,2495
-79.901372,0.84106,252,1153
-79.44994,-2.62985,235,1430
-80.047126,0.816269,247,1489
-84.1211,10.4516,255,4036
-73.79884,11.23794,273,1872
-79.2047,9.293578,246,2841
-88.661041,15.682543,270,2753
-74.181833,5.940833,253,2603
-77.930145,8.176149,266,1902
-88.911989,16.074986,251,3728
-83.4535,8.4419,255,3760
-79.052408,-0.297618,220,2739
-74.8569,5.9009,245,2917
-73.089717,11.382433,283,855
-74.946842,5.219511,246,2713
-83.078613,8.602747,263,3701
-88.214722,15.498679,237,1555
-84.232349,13.503817,261,2675
-85.871372,13.837614,233,1597
-84.475336,11.042131,255,2951
-83.667007,9.076039,251,3190
-74.889851,5.573059,248,2998
-85.109367,15.435148,249,2179
-83.107452,9.737482,244,2965
-73.3833,7.75,279,2283
-74.3245,5.85517,253,2603
-75.0851,6.00883,208,3736
-75.0397,5.35027,184,3550
-74.3009,5.58539,226,2631
-83.166664,9.666667,201,3119
-82.2305,8.9863,237,3348
-82.2098,8.7915,208,3023
-79,9,266,2004
-76.4,5.316667,252,6787
-82.416664,8.45,265,2732
-83.38333,10.166667,255,3535
-79.083336,-0.016667,228,3299
-83.25,10,238,3302
-79.30198,-0.761655,236,2640
-82.39102,9.292605,250,2865
-80.11278,8.421689,268,1499
-89.08052,16.285313,241,2797
-76.83993,3.479324,215,2409
-79.458275,-1.43717,249,2082
-78.45,1.433333,247,4131
-82.95,9.75,258,2674
-78.666664,1.166667,258,2547
-73.666664,7.833334,285,2341
-83.71667,10.216666,255,4013
-78.83968,0.15241,211,2856
-82.06,8.8583,253,3606
-84.933334,13.433333,254,2592
-84.23333,14.466666,246,2275
-75.00489,6.351861,204,3131
-75.12094,6.410333,204,3131
-74.01214,6.352361,277,2758
-74.91708,5.480889,248,2987
-82.52,9.33,224,2767
-82.27,9.23,256,3085
-79.35,-2.567,235,1430
-79.617,-0.9,252,2102
-79.21,-0.35,232,2723
-79.85,-0.617,240,1602
-80.05,-3.55,253,583
-75.72,5.67,195,2508
-72.244446,7.124445,207,3575
-79.3197,9.3574,248,2918
-84.852,13.702,254,2261
-83.49884,8.529417,257,4018
